user_id,recomendations
1,"[874972, 962568, 1132231, 1062002, 1004906]"
2,"[874972, 951412, 1003188, 947798, 1133018]"
3,"[874972, 1133018, 908531, 13842214, 827683]"
4,"[874972, 1029743, 1082185, 1127831, 951590]"
5,"[874972, 1082185, 1106523, 1127831, 951590]"
6,"[12384953, 960791, 1016276, 986912, 995242]"
7,"[874972, 1133018, 14106445, 1122358, 5591154]"
8,"[874972, 1062002, 909714, 878290, 850058]"
9,"[874972, 995242, 918046, 1056005, 883404]"
10,"[874972, 986912, 1106523, 1043766, 1029743]"
11,"[874972, 1029743, 1082185, 1127831, 951590]"
12,"[874972, 1029743, 1127831, 1082185, 951590]"
13,"[874972, 6464165, 12427353, 1038985, 862070]"
14,"[1015785, 985893, 1122358, 1029743, 13841744]"
15,"[874972, 1098844, 10341697, 1070820, 901666]"
16,"[874972, 12263788, 1029743, 1082185, 1106523]"
17,"[874972, 951590, 981760, 1029743, 1082185]"
18,"[878715, 5568729, 904813, 9677886, 951412]"
19,"[874972, 893501, 882604, 962229, 999104]"
20,"[874972, 897954, 1086740, 1126899, 1075368]"
21,"[874972, 1058997, 947798, 834117, 940731]"
22,"[956599, 881047, 992986, 1070820, 944836]"
23,"[1034176, 12648296, 1029743, 1082185, 1106523]"
24,"[844462, 914318, 1082185, 1036501, 1106523]"
25,"[874972, 1133018, 1043751, 8090521, 929018]"
26,"[874972, 1081189, 834158, 1106301, 960791]"
27,"[874972, 1082185, 963686, 986912, 9245108]"
28,"[948670, 921836, 1119051, 943233, 878996]"
29,"[874972, 1029743, 1082185, 1106523, 1127831]"
30,"[874972, 995242, 1029743, 1082185, 1106523]"
31,"[860248, 1082990, 6034857, 1126899, 898847]"
32,"[874972, 1058997, 981760, 843111, 1009449]"
33,"[836445, 1106301, 5981267, 1081177, 871756]"
34,"[874972, 1101010, 856772, 993638, 1044805]"
35,"[874972, 1053690, 1029743, 1082185, 1106523]"
36,"[874972, 901062, 997988, 962229, 1029743]"
37,"[874972, 1122358, 904813, 1097001, 1014458]"
38,"[874972, 1029743, 1127831, 1082185, 951590]"
39,"[874972, 12782182, 965982, 1127716, 6602697]"
40,"[874972, 939636, 825365, 903325, 1083043]"
41,"[874972, 845307, 865705, 909714, 1044805]"
42,"[874972, 963686, 965766, 981760, 923746]"
43,"[874972, 1095068, 821787, 1029743, 1082185]"
44,"[874972, 1082185, 1106523, 1127831, 951590]"
45,"[874972, 1029743, 1082185, 1127831, 951590]"
46,"[1108094, 5572738, 970619, 999104, 8090537]"
47,"[9677366, 1040935, 907308, 1126252, 9487606]"
48,"[874972, 1029743, 1082185, 1127831, 951590]"
49,"[1000753, 6602697, 1058997, 862732, 908531]"
50,"[874972, 962229, 1093603, 908531, 1029743]"
51,"[874972, 1088147, 880427, 1029743, 867469]"
52,"[874972, 898847, 1093113, 832678, 5569230]"
53,"[874972, 1082185, 859427, 5569471, 6034857]"
54,"[874972, 1029743, 1082185, 1127831, 951590]"
55,"[874972, 1082185, 899624, 844165, 995242]"
56,"[904997, 1119051, 922561, 1058997, 5569230]"
57,"[874972, 9676866, 1065593, 9297062, 854852]"
58,"[874972, 10457044, 5578547, 862349, 915493]"
59,"[874972, 909338, 937928, 1133018, 833025]"
60,"[874972, 1029743, 1082185, 1127831, 951590]"
61,"[874972, 1029743, 1082185, 1127831, 951590]"
62,"[874972, 1029743, 1082185, 1106523, 1127831]"
63,"[874972, 847344, 1029743, 1082185, 1106523]"
64,"[982469, 901460, 996425, 1138189, 13841744]"
65,"[874972, 5568378, 1118281, 986912, 965766]"
66,"[874972, 1082185, 1106523, 1127831, 951590]"
67,"[12810391, 845193, 871754, 971922, 1104414]"
68,"[874972, 901460, 959272, 879755, 883404]"
69,"[874972, 842707, 990656, 1044188, 960253]"
70,"[874972, 1039156, 1029743, 1082185, 1106523]"
71,"[874972, 13841744, 965766, 926905, 1101010]"
72,"[874972, 1029743, 1082185, 1106523, 1127831]"
73,"[874972, 1029743, 951590, 1082185, 1127831]"
74,"[874972, 1029743, 1082185, 1127831, 951590]"
75,"[874972, 1029743, 1082185, 1106523, 1127831]"
76,"[874972, 1029743, 1082185, 1127831, 951590]"
77,"[874972, 948832, 1072693, 1126899, 873964]"
78,"[874972, 12262992, 1104349, 1082185, 995055]"
79,"[874972, 871756, 7441498, 1053690, 862349]"
80,"[874972, 1130458, 978974, 986912, 953180]"
81,"[874972, 916381, 1076769, 995242, 1000050]"
82,"[874972, 929726, 1119761, 1029743, 1082185]"
83,"[874972, 1075214, 840361, 1029743, 1082185]"
84,"[874972, 5565369, 830887, 1029743, 1082185]"
85,"[874972, 829852, 1077540, 1139782, 14106445]"
86,"[874972, 971922, 1101010, 1106523, 951590]"
87,"[874972, 965963, 8293385, 1029743, 1082185]"
88,"[874972, 1070820, 6034857, 8090521, 13115914]"
89,"[874972, 1029743, 951590, 1082185, 1127831]"
90,"[874972, 1003188, 923789, 1070820, 923149]"
91,"[874972, 1088147, 838637, 1029743, 873203]"
92,"[874972, 1080853, 900802, 909750, 880150]"
93,"[874972, 1029743, 1082185, 1127831, 951590]"
94,"[874972, 1076580, 840361, 866211, 878996]"
95,"[874972, 910673, 835279, 922561, 1018740]"
96,"[874972, 951590, 995242, 1082185, 1127831]"
97,"[874972, 1122358, 870547, 1075368, 1137775]"
98,"[874972, 1058997, 8019681, 1095040, 1012913]"
99,"[874972, 898601, 863885, 824073, 12782182]"
100,"[863762, 1111786, 907631, 1116096, 851287]"
101,"[12731432, 862349, 821083, 1056509, 8090521]"
102,"[874972, 1029743, 1082185, 1127831, 951590]"
103,"[874972, 1029743, 1082185, 1106523, 1127831]"
104,"[906335, 1043751, 1069003, 930955, 8090536]"
105,"[874972, 879755, 5570408, 1082185, 849003]"
106,"[874972, 1119051, 965842, 8090521, 1005456]"
107,"[874972, 1037840, 916381, 1029743, 1082185]"
108,"[874972, 1106523, 951590, 1082185, 1127831]"
109,"[874972, 13842214, 824005, 908531, 951412]"
110,"[874972, 1119089, 9836460, 844165, 1133018]"
111,"[874972, 8090536, 840601, 6602327, 12811532]"
112,"[874972, 7168026, 12384177, 1029743, 1082185]"
113,"[874972, 8203451, 6979518, 1070820, 7410071]"
114,"[874972, 1116096, 1044078, 5568489, 1029743]"
115,"[947858, 1069522, 1096317, 912451, 918598]"
116,"[874972, 923746, 850058, 1037863, 1029743]"
117,"[874972, 1019643, 1135460, 962229, 995242]"
118,"[9524291, 9803601, 1023196, 1058997, 918335]"
119,"[874972, 1082185, 999581, 1131488, 940947]"
120,"[874972, 1029743, 1082185, 1127831, 951590]"
121,"[874972, 8090537, 856060, 835098, 1035676]"
122,"[874972, 1035676, 9419525, 7409971, 1053176]"
123,"[874972, 8090509, 898510, 1029743, 981760]"
124,"[874972, 12263788, 1035676, 833025, 844179]"
125,"[874972, 9884484, 856252, 5585510, 868764]"
126,"[874972, 1019247, 962185, 898068, 1029743]"
127,"[874972, 5585510, 1054262, 1075368, 13842214]"
128,"[874972, 901062, 840361, 1082185, 981760]"
129,"[874972, 1106523, 951590, 1082185, 1127831]"
130,"[874972, 1029743, 1082185, 1127831, 951590]"
131,"[874972, 1084968, 903609, 1026209, 1075214]"
132,"[874972, 1084968, 1126899, 854852, 1096036]"
133,"[874972, 887102, 1006342, 995242, 5582712]"
134,"[874972, 6533362, 862682, 5592931, 862335]"
135,"[874972, 13115813, 879876, 852360, 826249]"
136,"[874972, 1060005, 1032512, 8090521, 972931]"
137,"[874972, 1029743, 951590, 1082185, 1127831]"
138,"[874972, 9836106, 912137, 5569230, 1009449]"
139,"[12262830, 5569471, 916381, 1058997, 1107553]"
140,"[874972, 832678, 951821, 914190, 5591083]"
141,"[874972, 1108854, 1048472, 1029743, 1082185]"
142,"[874972, 1012315, 1138772, 990797, 1082212]"
143,"[874972, 978077, 1127758, 1106523, 965766]"
144,"[874972, 1029743, 1127831, 1082185, 951590]"
145,"[874972, 1106523, 1127831, 1082185, 951590]"
146,"[874972, 1109948, 893867, 995242, 1127470]"
147,"[874972, 1029743, 1082185, 1127831, 951590]"
148,"[874972, 1082185, 1106523, 1127831, 951590]"
149,"[874972, 1029743, 916122, 1082185, 1127831]"
150,"[874972, 1029743, 1082185, 1127831, 951590]"
151,"[874972, 1005456, 824005, 1028473, 5569230]"
152,"[874972, 1029743, 1082185, 1127831, 951590]"
153,"[874972, 909750, 1110857, 1062128, 1093113]"
154,"[874972, 1029743, 1082185, 1127831, 951590]"
155,"[874972, 1082185, 1106523, 1127831, 951590]"
156,"[874972, 1057260, 5591154, 976214, 835098]"
157,"[874972, 916122, 826249, 1126899, 12524174]"
158,"[874972, 1082185, 834826, 862349, 12731714]"
159,"[874972, 1106301, 9420312, 1004906, 1082185]"
160,"[899019, 862349, 900586, 1101010, 6034857]"
161,"[825343, 916381, 1119051, 9677202, 13841744]"
162,"[874972, 894447, 1090820, 1070820, 1122358]"
163,"[874972, 1029743, 1082185, 1127831, 951590]"
164,"[874972, 888054, 971949, 5592931, 1092026]"
165,"[874972, 1029743, 951590, 1082185, 1127831]"
166,"[874972, 995242, 1043751, 1053690, 951590]"
167,"[874972, 1085435, 953180, 1042765, 1009046]"
168,"[874972, 1004906, 878996, 1018050, 1029743]"
169,"[874972, 1037894, 12757316, 1099164, 1029743]"
170,"[874972, 1029743, 951590, 1082185, 1127831]"
171,"[933354, 9913338, 907625, 1029743, 1082185]"
172,"[874972, 1029743, 1082185, 1106523, 1127831]"
173,"[874972, 1029743, 1082185, 1127831, 951590]"
174,"[825343, 900586, 1085983, 1051323, 5574409]"
175,"[874972, 1029743, 1082185, 1127831, 951590]"
176,"[874972, 1029743, 1082185, 1127831, 951590]"
177,"[874972, 1029743, 951590, 1082185, 1127831]"
178,"[874972, 1110572, 1039156, 963686, 8090521]"
179,"[874972, 1029743, 1082185, 1127831, 951590]"
180,"[874972, 951590, 995242, 1082185, 1127831]"
181,"[874972, 1029743, 951590, 1082185, 1127831]"
182,"[874972, 1029743, 1082185, 1127831, 951590]"
183,"[874972, 883404, 1029743, 1082185, 1106523]"
184,"[848029, 916990, 12384365, 981760, 998444]"
185,"[874972, 1101010, 832678, 1029743, 983584]"
186,"[874972, 1029743, 1082185, 1127831, 951590]"
187,"[849202, 908531, 961554, 971949, 15926775]"
188,"[874972, 847982, 879755, 1029743, 1082185]"
189,"[874972, 1029743, 1082185, 1127831, 951590]"
190,"[874972, 942817, 825365, 1079228, 1029743]"
191,"[874972, 1015474, 1039156, 1029743, 1082185]"
192,"[874972, 9803601, 985386, 5569230, 995242]"
193,"[1134483, 9420067, 1106523, 944139, 831712]"
194,"[874972, 825541, 923746, 1051468, 1034956]"
195,"[12262830, 1060005, 1007796, 845193, 9884484]"
196,"[970747, 1029743, 1082185, 1106523, 1127831]"
197,"[874972, 7462562, 1126899, 838186, 882830]"
198,"[836445, 8090653, 907099, 1075368, 1106523]"
199,"[874972, 849843, 1029743, 1082185, 1106523]"
200,"[874972, 1058997, 898601, 909894, 1029743]"
201,"[874972, 8359154, 1014458, 6034857, 1133018]"
202,"[1137346, 1019247, 1126895, 944534, 1086740]"
203,"[874972, 914190, 948384, 5569471, 1029743]"
204,"[874972, 5569230, 1053690, 9911484, 13945244]"
205,"[933354, 904574, 957736, 1106523, 1137688]"
206,"[874972, 1029743, 1082185, 1127831, 951590]"
207,"[874972, 1029743, 1082185, 1127831, 951590]"
208,"[874972, 951190, 826249, 879504, 862349]"
209,"[825343, 9338009, 9333734, 819978, 12301839]"
210,"[12262778, 1130458, 854976, 1135868, 910473]"
211,"[874972, 1110572, 1105301, 962229, 1010190]"
212,"[874972, 13842214, 847982, 1056509, 995242]"
213,"[1000753, 1102959, 1029743, 1082185, 1106523]"
214,"[874972, 1047769, 12782182, 944836, 833724]"
215,"[874972, 981760, 916122, 916993, 1082185]"
216,"[874972, 6533936, 974204, 1029743, 1082185]"
217,"[1000753, 908531, 1043751, 895930, 995242]"
218,"[969725, 1085604, 1074333, 894439, 1029743]"
219,"[1034176, 1056509, 963835, 5569471, 972665]"
220,"[874972, 1038462, 1015280, 995242, 1016800]"
221,"[874972, 952317, 6534077, 1133018, 1043751]"
222,"[874972, 8069118, 9926758, 1058997, 999779]"
223,"[874972, 1029743, 1127831, 1082185, 951590]"
